Date,Time,Open,High,Low,Close,Volume,ti
10-1-2023,15:00:00,2559.45,2562.65,2556.85,2561.95,516641,71.24488348928674
11-1-2023,9:00:00,2555.1,2558,2536.85,2538.05,396858,60.04179221588265
11-1-2023,9:30:00,2538.75,2543.8,2531,2534.6,326931,54.76610593950781
11-1-2023,9:45:00,2534.6,2536,2528.4,2534.05,255709,52.18307674206534
11-1-2023,10:00:00,2534.15,2545,2533.55,2544.95,264079,58.41991888699608
11-1-2023,10:00:00,2544.95,2546,2540,2542.95,164276,59.36161713119211
11-1-2023,10:30:00,2542.95,2543.8,2540,2540.85,273599,53.96311100034985
11-1-2023,10:45:00,2540.65,2540.65,2531.1,2535.15,201760,52.60712160951555
11-1-2023,11:00:00,2535.2,2538.55,2532.45,2538.35,111692,52.74035719255047
11-1-2023,11:00:00,2538.35,2538.35,2536,2538.15,88270,52.81940786357406
11-1-2023,11:30:00,2538.15,2539.55,2531.25,2532.85,159373,52.38046486467694
11-1-2023,11:45:00,2532.5,2538,2532.1,2537.05,100576,55.969611549959545
11-1-2023,12:00:00,2537,2541.9,2536.05,2538.6,126376,55.20051516337195
11-1-2023,12:00:00,2538.6,2540.95,2537,2538.65,94933,47.69147235909367
11-1-2023,12:30:00,2538.85,2539.65,2533.25,2534.55,108452,35.560972109032946
11-1-2023,12:45:00,2534.65,2536,2528.85,2534.15,166113,38.94089960613841
11-1-2023,13:00:00,2534.15,2536.75,2533.2,2535.55,120458,47.9203574117432
11-1-2023,13:00:00,2535.25,2537.85,2534.3,2537.3,96429,56.22725506299642
11-1-2023,13:30:00,2537.3,2539.4,2535.5,2535.65,94102,52.314960432435385
11-1-2023,13:45:00,2535.6,2536.7,2532,2532.25,106604,45.05416849639611
11-1-2023,14:00:00,2532.65,2535,2523,2523.7,203248,46.870254019114746
11-1-2023,14:00:00,2523.35,2529.4,2521.1,2529.15,162302,47.95015930970593
11-1-2023,14:30:00,2529.25,2531.8,2527.15,2529.8,135328,48.638131734798755
11-1-2023,14:45:00,2529.55,2532.4,2525.7,2532.4,174548,51.02521551192156
11-1-2023,15:00:00,2532.5,2532.5,2523.6,2523.7,776918,38.281223942858716
11-1-2023,15:00:00,2523.75,2527.25,2522.15,2524.85,578238,28.66293480961407
12-1-2023,9:00:00,2523.9,2532.5,2519.3,2527.9,603619,38.59292137083424
12-1-2023,9:30:00,2527.5,2531.9,2516.95,2522.05,361795,33.2259796331373
12-1-2023,9:45:00,2521.85,2523.75,2508.1,2510.45,279558,31.76820806537107
