date,close,value
01-10-2022,2382.8,158.487999
13-10-2022,2382.8,-052.487999
14-10-2022,2370.7,058.4155645
17-10-2022,2408.75,067.10963747
18-10-2022,2451.25,066.39538632
19-10-2022,2493.9,077.27467997
20-10-2022,2500.6,085.57269802
21-10-2022,2471.6,078.85192171
24-10-2022,2479.85,075.10647663
25-10-2022,2441.55,066.9769646
27-10-2022,2451.15,057.84228344
28-10-2022,2526.15,060.7552567
31-10-2022,2549.6,066.39652975
01-11-2022,2529.85,064.11406663
02-11-2022,2545.65,063.28133989
03-11-2022,2555.15,063.24586924
04-11-2022,2592.75,064.20113974
07-11-2022,2606.6,063.3728165
09-11-2022,2604,063.2788748
10-11-2022,2572.5,055.90368748
11-11-2022,2631.8,057.11146885
14-11-2022,2619.05,062.80662177
15-11-2022,2607.3,061.1930339
16-11-2022,2592.35,061.95692718
17-11-2022,2599.05,068.76256454
18-11-2022,2597.65,062.03509354
21-11-2022,2550.9,055.32357039
22-11-2022,2565.05,058.63428936
23-11-2022,2557.05,065.23870491
24-11-2022,2579.1,066.03117198
25-11-2022,2617.6,064.52143131
28-11-2022,2707.55,069.83902659
29-11-2022,2712.2,069.89701329
30-11-2022,2731.35,077.78450598
01-12-2022,2723.3,077.43499765
02-12-2022,2722.15,070.16687917
05-12-2022,2682.45,066.6787479
06-12-2022,2690.2,067.01625904
07-12-2022,2650.5,062.22677908
08-12-2022,2649.25,061.26519295
09-12-2022,2609.1,059.012795
12-12-2022,2613.1,058.02341596
13-12-2022,2625,058.50550496
14-12-2022,2615.5,058.0508185
15-12-2022,2578.35,053.55767355
16-12-2022,2565.6,039.36729537
19-12-2022,2599.3,037.9166623
20-12-2022,2621.8,029.10252953
21-12-2022,2584.5,022.23670315
22-12-2022,2577.8,023.0212817
23-12-2022,2502.2,023.98234758
26-12-2022,2524.05,024.56609536
27-12-2022,2544.7,029.75338962
28-12-2022,2544.45,035.86785349
29-12-2022,2543.3,043.54794077
30-12-2022,2547.2,050.73758607
02-01-2023,2575.9,049.33439115
03-01-2023,2557.05,042.63063673
04-01-2023,2518.55,042.48851379
05-01-2023,2514.05,043.47041943
06-01-2023,2536.9,042.67390098
09-01-2023,2596.8,044.31618235
10-01-2023,2558.4,044.54451608
11-01-2023,2526.15,043.04735084
12-01-2023,2471.6,040.5617205
13-01-2023,2467.6,036.42673856
16-01-2023,2444.1,030.59627133
17-01-2023,2478.8,032.00577886
18-01-2023,2474.7,034.73265335
19-01-2023,2472.05,029.16235771
20-01-2023,2442.65,024.37637053
23-01-2023,2430.3,023.9741195
24-01-2023,2415.95,023.09872563
25-01-2023,2382.55,023.34383435
27-01-2023,2337.35,017.92198824
30-01-2023,2359.75,011.69611146
31-01-2023,2353.85,020.82612796
01-02-2023,2339.9,020.22716055
02-02-2023,2326.95,020.67793108
03-02-2023,2329,020.42820438
06-02-2023,2311.45,020.39388163
07-02-2023,2305.9,015.38586487
08-02-2023,2351.95,017.74864211
09-02-2023,2356.05,023.0271101
10-02-2023,2336.65,023.48610664
13-02-2023,2323.35,023.59450824
14-02-2023,2378.1,029.8613528
15-02-2023,2431.95,040.54992583
16-02-2023,2430.05,048.88661251
01-03-2023,2436.07,149.10000001
